Incident number,Incident Occurred,Incident Reported,LATITUDE,LONGITUDE,NIB_CODE_DESC
2014357565,20140501 00:00,20140507 08:50,36.09614032,-86.74945796,Burglary/Breaking & Entering
2014338695,20140501 01:00,20140501 01:50,36.23028293,-86.58866955,Burglary/Breaking & Entering
2014343671,20140501 03:00,20140502 20:38,36.16699631,-86.67344905,Burglary/Breaking & Entering
2014343098,20140501 05:00,20140502 15:50,36.05249196,-86.6592068,Burglary/Breaking & Entering
2014357951,20140501 07:00,20140507 10:30,36.10110041,-86.74299186,Burglary/Breaking & Entering
2014340913,20140501 07:00,20140501 20:05,36.04515876,-86.69257073,Burglary/Breaking & Entering
2014340553,20140501 07:00,20140501 17:47,36.15465239,-86.88284363,Burglary/Breaking & Entering
2014340666,20140501 07:00,20140501 18:15,36.08381958,-86.65965332,Burglary/Breaking & Entering
2014339539,20140501 08:00,20140501 09:30,36.25976281,-86.76660429,Burglary/Breaking & Entering
2014339526,20140501 08:30,20140501 09:30,36.11381389,-86.81082356,Burglary/Breaking & Entering
2014341041,20140501 09:00,20140501 21:00,36.27239956,-86.71821178,Burglary/Breaking & Entering
2014340527,20140501 09:00,20140501 17:50,36.0501445,-86.73887884,Burglary/Breaking & Entering
2014340098,20140501 10:45,20140501 14:35,36.08417007,-86.65885753,Burglary/Breaking & Entering
2014340145,20140501 12:30,20140501 15:00,36.13022514,-86.76929515,Burglary/Breaking & Entering
2014339924,20140501 12:50,20140501 13:00,36.24868153,-86.71552796,Burglary/Breaking & Entering
2014339998,20140501 13:25,20140501 13:47,36.2624201,-86.77464186,Burglary/Breaking & Entering
2014343143,20140501 15:00,20140502 16:08,36.12012764,-86.80659469,Burglary/Breaking & Entering
2014340811,20140501 16:30,20140501 19:45,36.13508071,-86.70522158,Burglary/Breaking & Entering
2014357872,20140501 18:00,20140507 09:41,36.23135266,-86.75886678,Burglary/Breaking & Entering
2014342575,20140501 19:30,20140502 09:40,36.04478485,-86.66232639,Burglary/Breaking & Entering
2014341386,20140501 22:30,20140501 23:30,36.21150828,-86.76537515,Burglary/Breaking & Entering
2014345446,20140501 23:08,20140503 11:32,36.18977092,-86.83738598,Burglary/Breaking & Entering
2014357895,20140502 00:00,20140507 10:30,36.2371263,-86.60412165,Burglary/Breaking & Entering
2014342031,20140502 03:33,20140502 03:50,36.06394982,-86.7108565,Burglary/Breaking & Entering
2014342834,20140502 04:30,20140502 15:30,36.09598575,-86.926649,Burglary/Breaking & Entering
2014342658,20140502 04:59,20140502 10:30,36.0475567,-86.648179,Burglary/Breaking & Entering
2014342696,20140502 06:00,20140502 11:20,36.08709177,-86.64792962,Burglary/Breaking & Entering
2014354666,20140502 12:00,20140506 11:14,36.09338655,-86.73626865,Burglary/Breaking & Entering
2014346385,20140502 12:00,20140503 20:46,36.21353326,-86.58269774,Burglary/Breaking & Entering
2014345198,20140502 17:00,20140503 08:15,36.22893595,-86.69865479,Burglary/Breaking & Entering
2014343409,20140502 18:00,20140502 19:04,36.18084103,-86.83528234,Burglary/Breaking & Entering
2014346099,20140502 18:00,20140503 18:55,36.16684953,-86.76188853,Burglary/Breaking & Entering
2014345241,20140502 18:00,20140503 08:45,36.12386467,-86.78984451,Burglary/Breaking & Entering
2014345254,20140502 18:30,20140503 09:01,36.06908814,-86.68163676,Burglary/Breaking & Entering
2014345432,20140502 21:00,20140503 11:30,36.20870622,-86.69449033,Burglary/Breaking & Entering
2014345288,20140502 22:30,20140503 09:01,36.06909835,-86.68177558,Burglary/Breaking & Entering
2014344362,20140502 22:30,20140503 01:07,36.07144068,-86.62041016,Burglary/Breaking & Entering
2014442326,20140503 00:00,20140604 17:55,36.20375704,-86.80164573,Burglary/Breaking & Entering
2014391129,20140503 00:00,20140518 12:20,36.11813221,-86.81125364,Burglary/Breaking & Entering
2014344333,20140503 00:16,20140503 00:16,36.13967371,-86.7695188,Burglary/Breaking & Entering
2014344325,20140503 00:17,20140503 01:00,36.09062128,-86.63459595,Burglary/Breaking & Entering
2014345458,20140503 02:30,20140503 11:24,36.18977092,-86.83738598,Burglary/Breaking & Entering
2014346880,20140503 08:00,20140504 00:13,36.09339874,-86.73607245,Burglary/Breaking & Entering
2014358886,20140503 14:00,20140507 16:55,36.20698537,-86.71910407,Burglary/Breaking & Entering
2014346475,20140503 15:00,20140503 20:58,36.20616583,-86.75700897,Burglary/Breaking & Entering
2014347942,20140503 17:30,20140504 08:09,36.06907048,-86.68135914,Burglary/Breaking & Entering
2014348194,20140503 18:00,20140504 10:16,36.15700428,-86.79673249,Burglary/Breaking & Entering
2014349051,20140503 18:30,20140504 17:30,36.17020788,-86.7655697,Burglary/Breaking & Entering
2014347910,20140503 19:00,20140504 07:38,36.13428754,-86.85816635,Burglary/Breaking & Entering
2014346627,20140503 21:40,20140503 21:40,36.21860207,-86.80371121,Burglary/Breaking & Entering
2014349310,20140504 00:00,20140504 20:15,36.11782269,-86.925238,Burglary/Breaking & Entering
