Incident number	Report Type Description	Incident Status	_date	_time	IncidentReported	LATITUDE	LONGITUDE	VICTIM_NO
0	Dispatched	O	20140301	0:00	20140313 21:30	36.1674925	-86.7568412	1
1	Other	O	20140301	0:00	20140312 14:00	36.17978319	-86.63805583	1
2	Dispatched	O	20140301	0:00	20140313 20:10	36.26811682	-86.70493177	1
3	Dispatched	O	20140301	0:00	20140303 16:22	36.13645236	-86.78475346	2
4	Dispatched	O	20140301	0:00	20140303 16:22	36.13645236	-86.78475346	1
5	Dispatched	R	20140301	0:45	20140301 03:13	36.26887555	-86.68593381	1
6	Dispatched	A	20140301	1:11	20140301 06:09	36.24674553	-86.70472546	1
7	Dispatched	P	20140301	2:00	20140301 03:00	36.04448962	-86.66500077	1
8	Dispatched	O	20140301	4:20	20140311 16:12	36.22945975	-86.72898713	1
9	Dispatched	R	20140301	5:30	20140301 08:00	36.17287991	-86.79305936	1
10	Dispatched	O	20140301	9:00	20140308 11:45	36.17920907	-86.83638232	1
11	Dispatched	O	20140301	11:00	20140301 16:15	36.2326041	-86.70185486	1
12	Dispatched	O	20140301	12:00	20140303 09:08	36.0499364	-86.87274044	1
13	Dispatched	A	20140301	13:53	20140301 15:05	36.08658593	-86.7500244	1
14	Dispatched	O	20140301	14:00	20140301 21:11	36.10925435	-86.81249266	2
15	Dispatched	O	20140301	14:00	20140301 21:11	36.10925435	-86.81249266	1
16	Dispatched	O	20140301	15:00	20140303 15:28	36.08120739	-86.71515288	1
17	Dispatched	O	20140301	15:30	20140302 19:15	36.28352315	-86.89600521	1
18	Dispatched	R	20140301	17:00	20140301 20:21	36.27248321	-86.69330216	1
19	Dispatched	O	20140301	18:00	20140317 16:25	36.1383286	-86.87718164	1
20	Dispatched	O	20140301	19:00	20140301 19:21	36.06877017	-86.72990321	1
21	Dispatched	O	20140301	20:00	20140302 13:15	36.23686479	-86.77485589	1
22	Dispatched	O	20140301	20:30	20140302 19:00	36.13342907	-86.80700142	1
23	Dispatched	O	20140302	0:01	20140302 11:40	36.10925435	-86.81249266	1
24	Dispatched	O	20140302	11:00	20100217 13:15	36.04502207	-86.72447338	1
25	Dispatched	O	20140302	13:00	20140305 11:15	36.25582538	-86.70128835	2
26	Dispatched	O	20140302	13:00	20140305 11:15	36.25582538	-86.70128835	1
27	Dispatched	O	20140302	14:00	20140308 12:00	36.1817105	-86.7253669	1
28	Dispatched	O	20140302	16:50	20140302 22:07	36.11784732	-86.78720873	1
29	Dispatched	O	20140302	17:30	20140302 21:15	36.18036954	-86.61098817	1
30	Dispatched	A	20140302	17:50	20140302 18:38	36.06065771	-86.6400659	1
31	Dispatched	O	20140302	20:30	20140302 20:43	36.13939442	-86.78606554	1
32	Dispatched	A	20140302	20:30	20140302 20:43	36.13939442	-86.78606554	1
33	Dispatched	O	20140303	0:00	20140303 18:30	36.18121944	-86.64097021	2
34	Dispatched	O	20140303	0:00	20140303 18:30	36.18121944	-86.64097021	1
35	Dispatched	O	20140303	3:35	20140303 10:41	36.18870376	-86.72914819	1
36	Dispatched	O	20140303	8:00	20140304 10:28	36.07699857	-86.64165526	1
37	Dispatched	O	20140303	8:00	20140303 18:55	36.14233232	-86.82373635	1
38	Dispatched	U	20140303	9:30	20140303 19:30	36.15383663	-86.71911356	1
39	Dispatched	O	20140303	15:30	20140303 21:50	36.14007391	-86.78754573	1
40	Dispatched	O	20140303	16:10	20140303 16:42	36.23583983	-86.78005975	1
41	Dispatched	P	20140303	17:00	20140303 23:52	36.24768862	-86.77255872	1
42	Dispatched	O	20140303	20:00	20140310 20:25	36.14676363	-86.76661683	1
43	Dispatched	A	20140304	4:37	20140304 05:21	36.08675241	-86.73044671	1
44	Dispatched	O	20140304	6:45	20110104 16:50	36.20016215	-86.7585016	1
45	Dispatched	O	20140304	8:00	20140316 12:36	36.03327375	-86.72896296	1
46	Dispatched	O	20140304	8:30	20140305 10:55	36.2340736	-86.76803106	1
47	Dispatched	O	20140304	8:30	20140304 18:10	36.26718957	-86.83680176	2
48	Dispatched	O	20140304	8:30	20140304 18:10	36.26718957	-86.83680176	1
49	Dispatched	O	20140304	9:00	20140304 21:15	36.26805101	-86.71964299	1
50	Dispatched	O	20140304	9:30	20140304 17:20	36.16418656	-86.75138451	1
51	Dispatched	O	20140304	9:43	20140304 10:21	36.26464469	-86.7301881	1
52	Dispatched	O	20140304	10:20	20140304 10:20	36.1478176	-86.83546286	2
53	Dispatched	O	20140304	10:20	20140304 10:20	36.1478176	-86.83546286	1
54	Dispatched	O	20140304	10:20	20140304 10:20	36.1478176	-86.83546286	2
55	Dispatched	O	20140304	10:20	20140304 10:20	36.1478176	-86.83546286	1
56	Dispatched	O	20140304	11:20	20140304 13:24	36.07867976	-86.72413657	1
57	Dispatched	O	20140304	14:30	20140304 16:13	36.07654385	-86.59585114	1
58	Dispatched	O	20140304	15:10	20140304 15:48	36.20039176	-86.62416576	1
59	Dispatched	O	20140304	16:00	20140305 15:49	36.15570583	-86.84110072	3
60	Dispatched	O	20140304	16:00	20140305 15:49	36.15570583	-86.84110072	2
61	Dispatched	O	20140304	16:00	20140305 15:49	36.15570583	-86.84110072	1
62	Dispatched	A	20140304	16:30	20140305 00:10	36.21890322	-86.8155607	2
63	Dispatched	O	20140304	17:15	20140304 20:25	36.2390217	-86.8364525	1
64	Dispatched	O	20140304	17:45	20140304 18:10	36.13670824	-86.78294273	1
65	Dispatched	A	20140305	0:00	20140305 09:04	36.12804812	-86.7471113	1
66	Dispatched	O	20140305	3:00	20140305 07:30	36.21766187	-86.69624116	1
67	Dispatched	O	20140305	6:00	20140307 15:00	36.26272882	-86.69066113	1
68	Dispatched	O	20140305	7:00	20140305 19:49	36.04727452	-86.74277323	1
69	Dispatched	O	20140305	7:30	20140305 17:25	36.24580896	-86.66485345	1
70	Dispatched	O	20140305	8:00	20140305 21:35	36.08216965	-86.73970295	1
71	Dispatched	O	20140305	9:35	20140305 13:40	36.18935264	-86.73575223	1
72	Dispatched	A	20140305	9:45	20140305 15:49	36.16046926	-86.86070634	3
73	Dispatched	A	20140305	9:45	20140305 15:49	36.16046926	-86.86070634	2
74	Dispatched	A	20140305	9:45	20140305 15:49	36.16046926	-86.86070634	1
75	Dispatched	O	20140305	11:10	20140305 13:45	36.0543826	-86.74072711	1
76	Dispatched	O	20140305	11:30	20140305 13:16	36.20890433	-86.76094545	1
77	Dispatched	O	20140305	14:00	20140305 15:24	36.22300472	-86.72937302	1
78	Dispatched	O	20140305	17:00	20140306 14:25	36.15289603	-86.75841054	1
79	Dispatched	O	20140305	17:00	20140305 20:10	36.07266326	-86.67353595	1
80	Dispatched	O	20140305	17:15	20140305 17:49	36.12646315	-86.78313595	1
81	Dispatched	O	20140305	17:30	20140322 12:18	36.08897695	-86.83548404	1
82	Dispatched	O	20140305	18:00	20140306 06:25	36.14187252	-86.78184754	1
83	Other	O	20140305	20:00	20140305 21:30	36.15969539	-86.59002908	1
84	Dispatched	A	20140305	22:45	20140305 23:15	36.20912657	-86.77795594	1
85	Dispatched	A	20140306	0:00	20140307 20:10	36.11101958	-86.74674236	2
86	Dispatched	A	20140306	0:00	20140307 20:10	36.11101958	-86.74674236	1
87	Dispatched	O	20140306	6:30	20140306 18:18	36.04587843	-86.64662114	1
88	Dispatched	O	20140306	7:30	20140306 08:17	36.13573416	-86.76328352	1
89	Dispatched	O	20140306	10:00	20120106 14:12	36.16057197	-86.81241047	1
90	Dispatched	O	20140306	10:00	20100317 15:57	36.05896399	-86.83172133	1
91	Dispatched	O	20140306	11:00	20140306 23:49	36.25753233	-86.72791222	2
92	Dispatched	O	20140306	11:00	20140306 23:49	36.25753233	-86.72791222	1
93	Dispatched	O	20140306	11:30	20140306 16:30	36.16411989	-86.8545015	2
94	Dispatched	O	20140306	11:30	20140306 16:30	36.16411989	-86.8545015	1
95	Dispatched	O	20140306	12:00	20140306 17:50	36.12859528	-86.81378047	1
96	Dispatched	O	20140306	13:00	20140306 15:58	36.19876257	-86.62625104	1
97	Dispatched	O	20140306	13:00	20140306 15:58	36.19876257	-86.62625104	1
98	Dispatched	O	20140306	13:00	20140306 17:55	36.15632423	-86.86153485	1
